,sno,DISTRICT,NAME,WINNERCANDIDATE,WINNERPARTY,WINNERVOTES,WINNERPERCENTAGE,RUNNERUPVOTES,RUNNERUPCANDIDATE,RUNNERUPPARTY,RUNNERUPPERCENTAGE,MARGIN,percentage_margin,POLLING_ON
23,24,Bijnor District,Noorpur,Ram Awatar Singh,SP,92574,43.27,86509,Chandra Prakash Singh,BJP,40.43,6065,2.84,14 February 2022
24,25,Moradabad District,Kanth,Kamal Akhtar,SP,134692,49.19,91514,Rajesh Kumar Singh,BJP,33.42,43178,15.77,14 February 2022
25,26,Moradabad District,Thakurdwara,Navab Jan,SP,134391,48.76,114706,Ajay Pratap Singh,BJP,41.62,19684,7.14,14 February 2022
26,27,Moradabad District,Moradabad Rural,Mohammad Nasir,SP,114337,56.88,86517,Krishnakant Mishra,BJP,34.34,27820,22.54,14 February 2022
27,28,Moradabad District,Moradabad Nagar,Ritesh Kumar Gupta,BJP,148384,46.12,147602,Mohd Yusuf Ansari,SP,45.88,782,0.24,14 February 2022
28,29,Moradabad District,Kundarki,Zia Ur Rahman,SP,125792,46.28,82630,Kamal Prajapati,BJP,30.4,43162,15.88,14 February 2022
29,30,Moradabad District,Bilari,Md Fahim Irfan,SP,95338,39.92,87728,Parmeshwar Lal Saini,BJP,36.73,7610,3.19,14 February 2022
30,31,Sambhal District,Chandausi (SC),Gulabo Devi,BJP,112890,49.53,77523,Vimlesh Kumar,SP,34.01,35367,15.52,14 February 2022
31,32,Sambhal District,Asmoli,Pinki Yadav,SP,111652,42.92,86446,Harendra Kumar,BJP,33.23,25206,9.69,14 February 2022
32,33,Sambhal District,Sambhal,Iqbal Mehmood,SP,107073,43.73,65376,Rajesh Singhal,BJP,26.7,41697,17.03,14 February 2022
33,34,Rampur District,Suar,Abdullah Azam,SP,126162,59.19,65059,Haidar Ali Khan,AD(S),30.62,61103,28.57,14 February 2022
34,35,Rampur District,Chamraua,Naseer Khan,SP,100976,50.34,66686,Mohan Kumar Lodhi,BJP,33.24,34290,17.1,14 February 2022
35,36,Rampur District,Bilaspur,Baldev Singh Aulakh,BJP,101998,43.17,101691,Amarjit Singh,SP,43.04,307,0.13,14 February 2022
36,37,Rampur District,Rampur,Azam Khan,SP,131225,59.71,76084,Akash Saxena,BJP,34.62,55141,25.09,14 February 2022
37,38,Rampur District,Milak (SC),Rajbala Singh,BJP,97948,43.11,92036,Vijay Singh,SP,40.5,5912,2.61,14 February 2022
38,39,Amroha District,Dhanaura (SC),Rajveer Tarara,BJP,103054,42.29,91629,Vivek Singh,SP,37.6,11425,4.69,14 February 2022
39,40,Amroha District,Naugawan Sadat,Samarpal Singh,SP,108497,44.38,101957,Devender Nagpal,BJP,41.64,6540,2.74,14 February 2022
40,41,Amroha District,Amroha,Mehboob Ali,SP,128735,57.43,57699,Ram Singh,BJP,25.74,71036,31.69,14 February 2022
41,42,Amroha District,Hasanpur,Mahendra Khadagvanshi,BJP,120135,44.67,97753,Mukhya Gurjar,SP,36.35,22382,8.32,14 February 2022
42,43,Meerut District,Siwalkhas,Gulam Muhammad,RLD,101749,43.52,92567,Maninder Pal,BJP,39.61,9182,3.91,10 February 2022
43,44,Meerut District,Sardhana,Atul Pradhan,SP,118573,48.75,100373,Sangeet Som,BJP,41.27,18200,7.48,10 February 2022
44,45,Meerut District,Hastinapur (SC),Dinesh Khatik,BJP,107587,46.72,100275,Yogesh Verma,SP,43.55,7312,3.17,10 February 2022
45,46,Meerut District,Kithore,Shahid Manzoor,SP,107104,42.19,104924,Satyavir Tyagi,BJP,41.33,2180,0.86,10 February 2022
46,47,Meerut District,Meerut Cantt,Amit Agrawal,BJP,162032,66.27,43960,Manish Ahlawat,RLD,17.98,118072,48.29,10 February 2022
47,48,Meerut District,Meerut,Rafiq Ansari,SP,106395,52.77,80330,Kamal Dutt Sharma,BJP,39.84,26065,12.93,10 February 2022
48,49,Meerut District,Meerut South,Somendra Singh Tomar,BJP,129667,43.46,121725,Md Adil,SP,40.79,7942,2.67,10 February 2022
49,50,Baghpat District,Chhaprauli,Ajay Kumar Singh,RLD,111880,53.3,82372,Sahender Ramala,BJP,39.24,29508,14.06,10 February 2022
50,51,Baghpat District,Baraut,Krishan Pal Malik,BJP,90931,46.34,90616,Jaiveer Singh,RLD,46.18,315,0.16,10 February 2022
51,52,Baghpat District,Baghpat,Yogesh Dhama,BJP,101420,47.37,94687,Mohd Ahmed Hameed,RLD,44.22,6733,3.15,10 February 2022
52,53,Ghaziabad District,Loni,Nand Kishor Gurjar,BJP,127410,40.44,118734,Madan Bhaiya,RLD,37.68,8676,2.76,10 February 2022
53,54,Ghaziabad District,Muradnagar,Ajit Pal Tyagi,BJP,169290,61.63,72195,Surendra Kumar,RLD,26.28,97295,35.35,10 February 2022
54,55,Ghaziabad District,Sahibabad,Sunil Kumar Sharma,BJP,322882,67.03,108047,Amarpal Sharma,SP,22.43,214835,44.6,10 February 2022
55,56,Ghaziabad District,Ghaziabad,Atul Garg,BJP,150205,61.37,44668,Vishal Verma,SP,18.25,105537,43.12,10 February 2022
56,57,Ghaziabad District,Modinagar,Manju Shiwach,BJP,113349,50.63,78730,Sudesh Sharma,RLD,35.17,34619,15.46,10 February 2022
57,58,Hapur District,Dhaulana,Dharmesh Singh Tomar,BJP,125028,44.65,112400,Aslam Ali,SP,40.14,12628,4.51,10 February 2022
58,59,Hapur District,Hapur (SC),Vijaypal Arthi,BJP,97862,39.69,90828,Gajraj Singh,RLD,36.84,7034,2.85,10 February 2022
59,60,Hapur District,Garhmukteshwar,Harender Singh Tevatiya,BJP,104113,44.07,77807,Ravindra Chaudhary,SP,32.94,26306,11.13,10 February 2022
60,61,Gautam Buddha Nagar District,Noida,Pankaj Singh,BJP,244319,70.16,62806,Sunil Choudhary,SP,18.04,181513,52.12,10 February 2022
61,62,Gautam Buddha Nagar District,Dadri,Tejpal Singh Nagar,BJP,218068,61.64,79850,Rajkumar Bhati,SP,22.57,138218,39.07,10 February 2022
62,63,Gautam Buddha Nagar District,Jewar,Dhirendra Singh,BJP,117205,50.53,60890,Avtar Singh Bhadana,RLD,26.25,56315,24.28,10 February 2022
63,64,Bulandshahr District,Sikandrabad,Lakshmi Raj Singh,BJP,125644,46,96301,Rahul Yadav,SP,35.26,29343,10.74,10 February 2022
64,65,Bulandshahr District,Bulandshahr,Pradeep Kumar Chaudhary,BJP,127026,48.94,101426,Haji Yunus,RLD,38.99,25600,9.95,10 February 2022
65,66,Bulandshahr District,Syana,Devendra Singh Lodhi,BJP,149125,58.9,59468,Dilnawaj Khan,RLD,23.49,89657,35.41,10 February 2022
66,67,Bulandshahr District,Anupshahr,Sanjay Kumar Sharma,BJP,125602,52.64,47979,Rameshwar Lodhi,BSP,20.11,77623,32.53,10 February 2022
67,68,Bulandshahr District,Debai,Chandrapal Singh,BJP,128640,58.6,60615,Harish Kumar[disambiguation needed],SP,27.61,68025,30.99,10 February 2022
68,69,Bulandshahr District,Shikarpur,Anil Sharma,BJP,113855,53.04,58172,Kiran Pal Singh,RLD,27.1,55683,25.94,10 February 2022
69,70,Bulandshahr District,Khurja (SC),Minakshi Singh,BJP,137461,52.99,70377,Banshi Singh,SP,27.13,67084,25.86,10 February 2022
70,71,Aligarh District,Khair (SC),Anoop Pradhan Valmiki,BJP,139643,55.55,65302,Charu Kain,BSP,25.98,74341,29.57,10 February 2022
71,72,Aligarh District,Barauli,Thakur Jaivir Singh,BJP,147984,60.57,57339,Narendra Kumar Sharma,BSP,23.47,90645,37.1,10 February 2022
72,73,Aligarh District,Atrauli,Sandeep Kumar Singh,BJP,125691,52.03,86367,Viresh Yadav,SP,35.75,39324,16.28,10 February 2022
73,74,Aligarh District,Chharra,Ravendra Pal Singh,BJP,110928,45.79,86966,Laxmi Dhangar,SP,35.78,24327,10.01,10 February 2022
74,75,Aligarh District,Koil,Anil Parashar,BJP,108067,42.81,103039,Shaaz Ishaaq,SP,40.82,5028,1.99,10 February 2022
75,76,Aligarh District,Aligarh,Mukta Raja,BJP,120389,47.66,107603,Zafar Alam,SP,42.6,12786,5.06,10 February 2022
76,77,Aligarh District,Iglas (SC),Rajkumar Sahyogi,BJP,127209,52.35,68046,Nirmal Diwakar,RLD,28,59163,24.35,10 February 2022
77,78,Hathras District,Hathras (SC),Anjula Singh Mahaur,BJP,154655,58.79,53799,Sanjeev Kumar,BSP,20.45,100856,38.34,20 February 2022
78,79,Hathras District,Sadabad,Pradeep Kumar Singh,RLD,104874,43.25,98437,Ramveer Upadhyay,BJP,40.6,6437,2.65,20 February 2022
79,80,Hathras District,Sikandra Rao,Birendra Singh Rana,BJP,98094,41.63,89990,Lalit Pratap Baghel,SP,38.19,8104,3.44,20 February 2022
80,81,Mathura District,Chhata,Chaudhary Laxmi Narayan Singh,BJP,124414,52.18,75466,Tejpal Singh,RLD,31.65,48948,20.53,10 February 2022
81,82,Mathura District,Mant,Rajesh Chaudhary,BJP,83958,37.35,74378,Shyam Sundar Sharma,BSP,33.09,9580,4.26,10 February 2022
82,83,Mathura District,Goverdhan,Thakur Meghashyam Singh,BJP,100199,45.21,57692,Rajkumar Rawat,BSP,26.03,42507,19.18,10 February 2022
83,84,Mathura District,Mathura,Shrikant Sharma,BJP,158859,60.26,49056,Pradeep Mathur,INC,18.61,109803,41.65,10 February 2022
84,85,Mathura District,Baldev (SC),Pooran Prakash Jatav,BJP,108414,44.14,83159,Babita Devi,RLD,33.86,25255,10.28,10 February 2022
85,86,Agra District,Etmadpur,Dharampal Singh,BJP,146603,48.77,98679,Praval Pratap Singh,SP,32.83,47924,15.94,10 February 2022
86,87,Agra District,Agra Cantonment (SC),G S Dharmesh,BJP,117796,46.78,69099,Kunwar  Chand,SP,27.44,48697,19.34,10 February 2022
87,88,Agra District,Agra South (SC),Yogendra Upadhyaya,BJP,109262,52.39,52622,Vinay Agarwal,SP,25.23,56640,27.16,10 February 2022
88,89,Agra District,Agra North,Purushottam Khandelwal,BJP,153817,63.89,41447,Shabbir Abbas,BSP,17.22,112370,46.67,10 February 2022
89,90,Agra District,Agra Rural (SC),Baby Rani Maurya,BJP,137310,52.63,60702,Kiran Prabha Keshari,BSP,23.26,76608,29.37,10 February 2022
90,91,Agra District,Fatehpur Sikri,Babulal Chaudhary,BJP,112095,46.14,64826,Brijesh Chahar,RLD,26.69,47269,19.45,10 February 2022
91,92,Agra District,Kheragarh,Bhagwan Singh Kushwaha,BJP,96574,47.05,60077,Ramnath Shikarwar,INC,29.27,36497,17.78,10 February 2022
92,93,Agra District,Fatehabad,Chhotelal Verma,BJP,108811,50.46,55576,Rupali Dixit,SP,25.77,53235,24.69,10 February 2022
93,94,Agra District,Bah,Rani Pakshalika Singh,BJP,78360,41.16,54125,Madhusudan Sharma,SP,28.43,24235,12.73,10 February 2022
94,95,Firozabad District,Tundla (SC),Prempal Singh Dhangar,BJP,122881,49.46,75190,Rakesh Babu,SP,30.26,47691,19.2,20 February 2022
95,96,Firozabad District,Jasrana,Sachin Yadav,SP,108289,43.71,107453,Manvendra Lodhi,BJP,43.37,836,0.34,20 February 2022
96,97,Firozabad District,Firozabad,Manish Asija,BJP,112509,43.43,79554,Saifur Rehman,SP,30.71,32955,12.72,20 February 2022
97,98,Firozabad District,Shikohabad,Mukesh Verma,SP,106279,45.14,96951,Omprakash Verma,BJP,41.18,9328,3.96,20 February 2022
98,99,Firozabad District,Sirsaganj,Sarvesh Singh,SP,96224,46.22,87419,Hariom Yadav,BJP,41.99,8805,4.23,20 February 2022
99,100,Kasganj District,Kasganj,Devendra Singh,BJP,123410,52.67,77145,Man Pal Singh,SP,32.92,46265,19.75,20 February 2022
100,101,Kasganj District,Amanpur,Hariom Verma,BJP,96377,50.4,53048,Satybhan Shakya,SP,27.74,43329,22.66,20 February 2022
101,102,Kasganj District,Patiyali,Nadira Sultan,SP,91545,41.88,87957,Mamtesh Shakya,BJP,40.06,4001,1.82,20 February 2022
102,103,Etah District,Aliganj,Satyapal Singh Rathore,BJP,102873,45.44,99063,Rameshwar Singh Yadav,SP,43.76,3810,1.68,20 February 2022
103,104,Etah District,Etah,Vipin Verma David,BJP,97539,46.34,80292,Jugendra Singh Yadav,SP,38.15,17247,8.19,20 February 2022
104,105,Etah District,Marhara,Virendra Singh Lodhi,BJP,101387,49.01,83778,Amit Gaurav,SP,40.5,17609,8.51,20 February 2022
105,106,Etah District,Jalesar,Sanjeev Kumar Diwakar,BJP,91339,45.1,86898,Ranjeet Suman,SP,42.91,4441,2.19,20 February 2022
106,107,Mainpuri District,Mainpuri,Jaiveer Singh,BJP,99814,46.73,93048,Raj Kumar,SP,43.56,6766,3.17,20 February 2022
107,108,Mainpuri District,Bhongaon,Ram Naresh Agnihotri,BJP,97208,45.18,92441,Alok Shakya,SP,42.97,4767,2.21,20 February 2022
108,109,Mainpuri District,Kishni (SC),Brajesh Katheriya,SP,97070,49.58,77919,Priya Ranjan Ashu Diwakar,BJP,39.8,19151,9.78,20 February 2022
109,110,Mainpuri District,Karhal,Akhilesh Yadav,SP,148196,60.12,80692,S.P. Singh Baghel,BJP,32.74,67504,27.38,20 February 2022
110,111,Sambhal District,Gunnaur,Ramkhiladi Singh Yadav,SP,123969,51.38,94440,Ajeet Kumar Yadav,BJP,39.14,29529,12.24,14 February 2022
111,112,Budaun District,Bisauli (SC),Ashutosh Maurya,SP,110569,44.23,108735,Kushagra Sagar,BJP,43.5,1834,0.73,14 February 2022
112,113,Budaun District,Sahaswan,Brajesh Yadav,SP,83673,33.35,69728,Haji Vittan Musarrat,BSP,27.79,13945,5.56,14 February 2022
113,114,Budaun District,Bilsi,Harish Chandra Shakya,BJP,93500,45.54,68385,Chandra Prakash Maurya,SP,33.31,25115,12.23,14 February 2022
114,115,Budaun District,Badaun,Mahesh Chandra Gupta,BJP,101096,46.12,89917,Raish Ahmed,SP,41.02,11179,5.1,14 February 2022
115,116,Budaun District,Shekhupur,Himanshu Yadav,SP,105531,42.84,99431,Dharmendra Shakya,BJP,40.36,6100,2.48,14 February 2022
116,117,Budaun District,Dataganj,Rajeev Kumar Singh,BJP,107591,45.34,98115,Arjun Singh,SP,41.35,9476,3.99,14 February 2022
117,118,Bareilly District,Baheri,Ataur Rehman,SP,124145,46.67,120790,Chhatra Pal Singh,BJP,45.41,3355,1.26,14 February 2022
118,119,Bareilly District,Meerganj,DC Verma,BJP,116435,50.98,83955,Sultan Beg,SP,36.76,32840,14.22,14 February 2022
119,120,Bareilly District,Bhojipura,Shazil Islam Ansari,SP,119402,45.88,109993,Bahoranlal Maurya,BJP,42.26,9409,3.62,14 February 2022
120,121,Bareilly District,Nawabganj,Dr. M.P. Aarya Gangwar,BJP,111113,48.2,101876,Bhagwat Sharan Gangwar,SP,44.2,9237,4,14 February 2022
121,122,Bareilly District,Faridpur (SC),Dr. Shyam Bihari Lal,BJP,92070,45.22,89149,Vijay Pal Singh,SP,43.78,2921,1.44,14 February 2022
122,123,Bareilly District,Bithari Chainpur,Raghavendra Sharma,BJP,115417,46.53,99576,Agam Maurya,SP,40.15,15841,6.38,14 February 2022
123,124,Bareilly District,Bareilly,Dr. Arun Kumar Saxena,BJP,129014,53.77,96694,Rajesh Aggarwal,SP,40.3,32320,13.47,14 February 2022
124,125,Bareilly District,Bareilly Cantt,Sanjeev Agarwal,BJP,98931,50.43,88163,Supriya Arun,SP,44.94,10768,5.49,14 February 2022
125,126,Bareilly District,Aonla,Dharampal Singh,BJP,88956,46.45,70532,Pt. Radha Krishan Sharma,SP,36.83,18424,9.62,14 February 2022
126,127,Pilibhit District,Pilibhit,Sanjay Gangwar,BJP,125506,48.08,118536,Shailendra Gangwar,SP,45.41,6970,2.67,23 February 2022
127,128,Pilibhit District,Barkhera,Swami Pravaktanand,BJP,151771,63.8,70299,Hemraj Verma,SP,29.55,81472,34.25,23 February 2022
128,129,Pilibhit District,Puranpur (SC),Baburam Paswan,BJP,134404,50.12,107828,Ms Arti,SP,40.21,26576,9.91,23 February 2022
129,130,Pilibhit District,Bisalpur,Vivek Kumar Verma,BJP,121142,50.55,70733,Divya Gangwar,SP,29.52,50409,21.03,23 February 2022
130,131,Shahjahanpur District,Katra,Veer Vikram Singh,BJP,77800,39.9,77443,Rajesh Yadav,SP,39.72,357,0.18,14 February 2022
131,132,Shahjahanpur District,Jalalabad,Hari Prakash Verma,BJP,99609,45.97,95037,Niraj Nilinesh,SP,43.86,4572,2.11,14 February 2022
132,133,Shahjahanpur District,Tilhar,Salona Kushwaha,BJP,102307,47.93,89030,Roshan Lal Verma,SP,41.71,13277,6.22,14 February 2022
133,134,Shahjahanpur District,Powayan (SC),Chetram Pasi,BJP,129785,55.62,78207,Upendra Pal Singh,SP,33.62,51578,22,14 February 2022
134,135,Shahjahanpur District,Shahjahanpur,Suresh Kumar Khanna,BJP,109942,48.98,100629,Tanveer Khan,SP,44.83,9313,4.15,14 February 2022
135,136,Shahjahanpur District,Dadraul,Manvendra Singh,BJP,100957,45.06,91256,Rajesh Kumar Verma,SP,40.73,9701,4.33,14 February 2022
136,137,Lakhimpur Kheri District,Palia,Harvinder Kumar Sahni,BJP,118864,50.2,80735,Pritinder Singh Kakku,SP,34.1,38129,16.1,23 February 2022
137,138,Lakhimpur Kheri District,Nighasan,Shashank Verma,BJP,126488,53.41,85479,R S Kushwaha,SP,36.1,41009,17.31,23 February 2022
138,139,Lakhimpur Kheri District,Gola Gokrannath,Arvind Giri,BJP,126534,48.67,97240,Vinay Tiwari,SP,37.4,29294,11.27,23 February 2022
139,140,Lakhimpur Kheri District,Sri Nagar (SC),Manju Tyagi,BJP,108249,47.21,90641,Ram Sharan,SP,39.53,17608,7.68,23 February 2022
140,141,Lakhimpur Kheri District,Dhaurahra,Vinod Shakar Awasthi,BJP,113498,49.49,88888,Varun Singh,SP,38.76,24610,10.73,23 February 2022
141,142,Lakhimpur Kheri District,Lakhimpur,Yogesh Verma,BJP,127663,47.38,107085,Utkarsh Verma Madhur,SP,39.74,20578,7.64,23 February 2022
142,143,Lakhimpur Kheri District,Kasta (SC),Saurabh Singh Sonu,BJP,103315,47.93,89498,Sunil Kumar Lala,SP,41.52,13817,6.41,23 February 2022
143,144,Lakhimpur Kheri District,Mohammdi,Lokendra Pratap Singh,BJP,99377,42.75,94506,Daud Ahmad,SP,40.66,4871,2.09,23 February 2022
144,145,Sitapur District,Maholi,Shashank Trivedi,BJP,112040,44.73,99868,Anoop Kumar Gupta,SP,39.87,12172,4.86,23 February 2022
145,146,Sitapur District,Sitapur,Rakesh Rathour,BJP,99349,42.72,98096,Radhe Shyam Jaiswal,SP,42.18,1253,0.54,23 February 2022
146,147,Sitapur District,Hargaon (SC),Suresh Rahi,BJP,116691,52.46,78531,Ramhet Bharti,SP,35.31,38160,17.15,23 February 2022
147,148,Sitapur District,Laharpur,Anil Kumar Verma,SP,112987,47.05,99832,Suneel Verma,BJP,41.57,13155,5.48,23 February 2022
148,149,Sitapur District,Biswan,Nirmal Verma,BJP,106014,44.77,95536,Afzaal Kausar,SP,40.35,10478,4.42,23 February 2022
149,150,Sitapur District,Sevata,Gyan Tiwari,BJP,108057,47.43,87619,Mahendra Kumar Singh,SP,39.34,20438,8.09,23 February 2022
150,151,Sitapur District,Mahmoodabad,Asha Maurya,BJP,92091,41.91,86869,Narendra Singh Verma,SP,39.51,5222,2.4,23 February 2022
151,152,Sitapur District,Sidhauli (SC),Manish Rawat,BJP,106222,43.58,96506,Dr. Hargovind Bhargawa,SP,39.6,9716,3.98,23 February 2022
152,153,Sitapur District,Misrikh (SC),Ramkrishna Bhargava,BJP,91092,41.15,79627,Manoj Kumar Raghuvanshi,SBSP,35.97,11465,5.18,23 February 2022
153,154,Hardoi District,Sawayazpur,Madhavendra Pratap,BJP,114623,46.03,88576,Padamrag Singh Yadav,SP,35.68,26047,10.35,23 February 2022
154,155,Hardoi District,Shahabad,Rajni Tiwari,BJP,94561,40.49,88082,Asif Khan Babbu,SP,37.72,6479,2.77,23 February 2022
155,156,Hardoi District,Hardoi,Nitin Agarwal,BJP,126750,53.19,84339,Anil Verma,SP,35.39,42411,17.8,23 February 2022
156,157,Hardoi District,Gopamau (SC),Shyam Prakash,BJP,91762,43.07,83764,Rajeshwari,SP,39.32,7998,3.75,23 February 2022
157,158,Hardoi District,Sandi (SC),Prabhash Kumar,BJP,81519,41.7,72286,Usha Verma,SP,36.97,9233,4.73,23 February 2022
158,159,Hardoi District,Bilgram-Mallanwan,Ashish Kumar Singh ‘Ashu',BJP,82075,34.96,57185,Brijesh Kumar Verma,SP,24.36,24890,10.6,23 February 2022
159,160,Hardoi District,Balamau (SC),Rampal Verma,BJP,81994,42.84,55570,Rambali Verma,SP,29.13,26424,13.71,23 February 2022
160,161,Hardoi District,Sandila,Alka Singh,BJP,101730,49.76,64627,Abdul Mannan,BSP,31.61,37103,18.15,23 February 2022
161,162,Unnao District,Bangarmau,Shrikant Kotiyar,BJP,90980,44.7,75187,Dr. Munna,SP,36.94,15793,7.76,23 February 2022
162,163,Unnao District,Safipur (SC),Bambalal,BJP,102968,52.13,68836,Sudhir Kumar,SP,34.85,34132,17.28,23 February 2022
163,164,Unnao District,Mohan (SC),Brajrsh Kumar,BJP,113291,53.45,70112,Dr. Anchal,SP,33.08,43179,20.37,23 February 2022
164,165,Unnao District,Unnao,Pankaj Gupta,BJP,126670,51.62,95542,Abhinav Kumar,SP,38.94,31128,12.68,23 February 2022
165,166,Unnao District,Bhagwantnagar,Ashutosh Shukla,BJP,127118,51.28,84108,Ankit Parihar,SP,33.93,43010,17.35,23 February 2022
166,167,Unnao District,Purwa,ANIL KUMAR SINGH,BJP,133827,52.27,102766,Uday Raj,SP,40.14,31061,12.13,23 February 2022
167,168,Lucknow District,Malihabad (SC),Jai Devi,BJP,106372,44.15,98627,Surendra Kumar,SP,40.93,7745,3.22,23 February 2022
168,169,Lucknow District,Bakshi Kaa Talab,Yogesh Shukla,BJP,147922,46.36,120134,Gomti Yadav,SP,37.65,27788,8.71,23 February 2022
169,170,Lucknow District,Sarojini Nagar,Rajeshwar Singh,BJP,160626,49.07,104440,Abhishek Mishra,SP,31.9,56186,17.17,23 February 2022
170,171,Lucknow District,Lucknow West,Armaan Khan,SP,124497,48.19,116313,Anjali Kumar Srivastava,BJP,45.03,8184,3.16,23 February 2022
171,172,Lucknow District,Lucknow North,Dr. Neeraj Bora,BJP,139159,53.3,105206,Pooja Shukla,SP,40.29,33953,13.01,23 February 2022
172,173,Lucknow District,Lucknow East,Ashutosh Tandon,BJP,152928,59.4,84197,Anurag Bhadouria,SP,32.7,68731,26.7,23 February 2022
173,174,Lucknow District,Lucknow Central,Ravidas Mehotra,SP,104488,49.62,93553,Rajnish Kumar Gupta,BJP,44.43,10935,5.19,23 February 2022
174,175,Lucknow District,Lucknow Cantonment,Brajesh Pathak,BJP,108147,54.7,68635,Surendra Singh Gandhi 'Raju Gandhi',SP,34.71,39512,19.99,23 February 2022
175,176,Lucknow District,Mohanlalganj (SC),Amresh Kumar,BJP,107089,43.58,90541,Sushila Saroj,SP,36.84,16548,6.74,23 February 2022
176,177,Raebareli District,Bachhrawan (SC),Shyam Sunder,SP,65747,31.38,62935,Laxmikant,AD(S),30.04,2812,1.34,23 February 2022
177,178,Amethi District,Tiloi,Mayankeshwar Sharan Singh,BJP,99472,48.54,71643,Mohd Naim,SP,34.96,27829,13.58,27 February 2022
178,179,Raebareli District,Harchandpur,Rahul Rajpoot,SP,92498,45.87,78009,Rakesh Singh,BJP,38.69,14489,7.18,23 February 2022
179,180,Raebareli District,Rae Bareli,Aditi Singh,BJP,102429,44.51,95254,Ram Pratap Yadav,SP,41.4,7175,3.11,23 February 2022
180,181,Raebareli District,Salon (SC),Ashok Kumar,BJP,87715,43.79,85604,Jagdish Prasad,SP,42.73,1511,1.06,27 February 2022
181,182,Raebareli District,Sareni,Devendra Pratap Singh,SP,66166,30.53,62359,Dhirendra Bahadur Singh,BJP,28.78,3807,1.75,23 February 2022
